label,topic,mean_topic_score
no_story,topic_0,0.023731189
story,topic_0,0.017274503
no_story,topic_1,0.028057877
story,topic_1,0.02290525
no_story,topic_2,0.026734311
story,topic_2,0.014690834
no_story,topic_3,0.017964434
story,topic_3,0.025789078
no_story,topic_4,0.009021043
story,topic_4,0.023740128
no_story,topic_5,0.012652393
story,topic_5,0.019402862
no_story,topic_6,0.020812217
story,topic_6,0.046451405
no_story,topic_7,0.015407691
story,topic_7,0.019574324
no_story,topic_8,0.010458092
story,topic_8,0.027439753
no_story,topic_9,0.02265379
story,topic_9,0.020997072
