topic,no_story,story,story_minus_no_story,abs_difference
topic_6,0.009282241,0.028658206,0.019375965,0.019375965
topic_12,0.0058808546,0.01842518,0.012544325,0.012544325
topic_10,0.029521527,0.0178697,-0.011651827,0.011651827
topic_4,0.0070287785,0.018271375,0.011242596,0.011242596
topic_8,0.009617562,0.01819511,0.008577547,0.008577547
topic_2,0.016718065,0.009192006,-0.0075260596,0.0075260596
topic_7,0.007662759,0.015015096,0.0073523372,0.0073523372
topic_14,0.01705896,0.009889418,-0.007169541,0.007169541
topic_3,0.012044185,0.019149939,0.0071057538,0.0071057538
topic_11,0.013840265,0.01983279,0.0059925253,0.0059925253
topic_5,0.010141021,0.015827945,0.005686924,0.005686924
topic_0,0.016065646,0.01058345,-0.005482196,0.005482196
topic_1,0.0261049,0.020751197,-0.005353702,0.005353702
topic_9,0.020447362,0.01770984,-0.0027375221,0.0027375221
topic_13,0.010392562,0.012820309,0.0024277475,0.0024277475
